epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,1537.89,0.68524,1.22015,1.57325,1.01524,0,0.95477,0.475,0.60993,0.37329,0.97723,0.45,0.60682,0.36749,0.77301,1.10278,2.86306,0.9932,0,0.000542114,0.000542114,0.000542114
2,3068.9,0.60178,0.77435,0.80503,0.95136,0,0.64975,0.77858,0.98119,0.85389,0.64975,0.77858,0.97974,0.82067,0.55837,0.87,1.74859,0.94266,0,0.00108691,0.00108691,0.00108691
3,4596.45,0.61539,0.72675,0.75798,0.95822,0,0.9476,0.96531,0.98088,0.79064,0.9476,0.96531,0.97406,0.85433,0.67042,1.0503,1.02088,1.04151,0,0.00162071,0.00162071,0.00162071
4,6125.73,0.60568,0.76942,0.69137,0.95372,0,0.85751,0.91501,0.99037,0.84111,0.85751,0.91501,0.99037,0.85678,0.60479,0.83593,0.91341,0.96563,0,0.00161749,0.00161749,0.00161749
5,7653.07,0.56124,0.76529,0.61852,0.94123,0,0.96979,0.96078,0.98561,0.85348,0.96979,0.96078,0.98561,0.87449,0.55709,0.68348,0.72211,0.89724,0,0.00160099,0.00160099,0.00160099
6,9180.8,0.56581,0.73357,0.58068,0.94314,0,0.92656,0.9563,0.97765,0.76142,0.90474,0.96447,0.97043,0.73839,0.72311,0.79395,0.77911,0.97691,0,0.00158448,0.00158448,0.00158448
7,10707.5,0.55109,0.66904,0.53515,0.92624,0,0.9731,0.94152,0.98775,0.88315,0.9731,0.94152,0.98775,0.88007,0.55234,0.63355,0.69374,0.88278,0,0.00156798,0.00156798,0.00156798
8,12237.7,0.52375,0.66479,0.51253,0.92961,0,0.93097,0.97549,0.98269,0.67213,0.93097,0.97549,0.98259,0.66182,0.7123,0.71086,1.10502,1.04044,0,0.00155148,0.00155148,0.00155148
9,13761.6,0.51868,0.63567,0.48113,0.92031,0,0.92101,0.98509,0.98824,0.86316,0.92101,0.98509,0.98824,0.90353,0.56488,0.61883,0.54122,0.88933,0,0.00153497,0.00153497,0.00153497
10,15287.1,0.48733,0.6324,0.46943,0.9132,0,0.98658,0.96471,0.98647,0.87988,0.98658,0.96471,0.98647,0.89667,0.52952,0.56863,0.55458,0.87592,0,0.00151847,0.00151847,0.00151847
