epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,34053.8,0.45464,0.52725,0.31536,0.87489,0,0.98364,0.98708,0.99201,0.78922,0.95564,0.95947,0.95462,0.76062,0.46787,0.37908,0.31029,0.86224,0,0.00104703,0.00104703,0.00104703
29,35261.7,0.47064,0.58601,0.32216,0.87674,0,0.98614,0.98611,0.98859,0.78191,0.9682,0.96875,0.96583,0.80512,0.46417,0.36174,0.29552,0.86586,0,0.00103288,0.00103288,0.00103288
30,36470.8,0.44356,0.54193,0.30419,0.87265,0,0.98168,0.97825,0.98137,0.76686,0.9709,0.96783,0.96275,0.78669,0.47628,0.33798,0.27594,0.86562,0,0.00101873,0.00101873,0.00101873
31,37683.8,0.44919,0.54061,0.30897,0.87758,0,0.97943,0.98476,0.99099,0.78221,0.95153,0.95716,0.95711,0.79026,0.47968,0.29457,0.28228,0.87139,0,0.00100459,0.00100459,0.00100459
32,38890.9,0.4441,0.54413,0.30199,0.87463,0,0.98905,0.98611,0.99014,0.79651,0.95237,0.94792,0.94457,0.77191,0.42387,0.3465,0.27743,0.85264,0,0.00099044,0.00099044,0.00099044
33,40097.8,0.44573,0.54295,0.29853,0.87799,0,0.98786,0.98264,0.99257,0.79057,0.95742,0.95139,0.94555,0.76645,0.45439,0.33591,0.28912,0.86635,0,0.000976293,0.000976293,0.000976293
34,41304.2,0.44287,0.55287,0.30323,0.87092,0,0.99005,0.98611,0.99368,0.78982,0.95417,0.95046,0.94294,0.76678,0.45872,0.30612,0.31194,0.86267,0,0.000962146,0.000962146,0.000962146
35,42517.8,0.43729,0.51979,0.29589,0.87281,0,0.98864,0.98611,0.98662,0.79173,0.96404,0.96481,0.96307,0.77467,0.48456,0.28526,0.27426,0.87009,0,0.000947999,0.000947999,0.000947999
36,43728.1,0.45075,0.52506,0.29762,0.87996,0,0.98175,0.98958,0.99087,0.78757,0.95129,0.95833,0.95075,0.76108,0.47996,0.31384,0.26431,0.86323,0,0.000933851,0.000933851,0.000933851
37,44935,0.4487,0.54346,0.30013,0.87395,0,0.97765,0.99202,0.99294,0.80211,0.94008,0.95405,0.9433,0.76024,0.46262,0.31686,0.25582,0.8707,0,0.000919704,0.000919704,0.000919704
38,46143.7,0.45282,0.52318,0.30376,0.88005,0,0.98823,0.98264,0.98711,0.78752,0.95652,0.95002,0.94165,0.75469,0.42712,0.31125,0.26812,0.85243,0,0.000905557,0.000905557,0.000905557
39,47355.5,0.42991,0.52789,0.28945,0.86709,0,0.98688,0.98398,0.98912,0.8064,0.96189,0.95979,0.95672,0.79064,0.42789,0.29841,0.24377,0.85667,0,0.00089141,0.00089141,0.00089141
40,48566.6,0.41183,0.51997,0.27654,0.86477,0,0.97876,0.98264,0.98222,0.77407,0.95046,0.95486,0.9439,0.77011,0.4384,0.33385,0.24217,0.85036,0,0.000877263,0.000877263,0.000877263
41,49781.2,0.4199,0.49942,0.27935,0.86684,0,0.98937,0.98958,0.99449,0.78621,0.96804,0.96875,0.95803,0.81279,0.47828,0.29906,0.25883,0.85518,0,0.000863116,0.000863116,0.000863116
