epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,73717.8,0.37545,0.48181,0.28463,0.87871,0,0.97333,0.99633,0.98956,0.95481,0.97333,0.99633,0.98956,0.93689,0.31699,0.3921,0.24639,0.82805,0,0.00122141,0.00122141,0.00122141
29,76334.1,0.37242,0.47021,0.28121,0.87856,0,0.97574,0.99085,0.9887,0.94635,0.97574,0.99085,0.9887,0.93185,0.28849,0.40388,0.23754,0.81357,0,0.00120491,0.00120491,0.00120491
30,78948.7,0.37413,0.4813,0.28073,0.87946,0,0.97111,0.99975,0.9843,0.94733,0.97111,0.99975,0.9843,0.9326,0.30594,0.37686,0.24912,0.81819,0,0.0011884,0.0011884,0.0011884
31,81561.9,0.37569,0.48225,0.27366,0.87432,0,0.97051,0.99378,0.98945,0.95324,0.97051,0.99378,0.98945,0.93835,0.28728,0.38578,0.23014,0.81541,0,0.0011719,0.0011719,0.0011719
32,84172.2,0.37084,0.45258,0.27373,0.87072,0,0.98245,0.98171,0.9933,0.95193,0.98245,0.98171,0.9933,0.93804,0.29369,0.38924,0.2396,0.81411,0,0.0011554,0.0011554,0.0011554
33,86783.7,0.37008,0.47516,0.2802,0.8792,0,0.98737,0.97866,0.99291,0.95316,0.98737,0.97866,0.99291,0.94166,0.29606,0.38608,0.23872,0.81943,0,0.00113889,0.00113889,0.00113889
34,89399.5,0.37004,0.46422,0.27381,0.87369,0,0.97539,0.99014,0.98911,0.95497,0.97539,0.99014,0.98911,0.93584,0.31982,0.38685,0.26993,0.83133,0,0.00112239,0.00112239,0.00112239
35,92006.5,0.35012,0.43723,0.26309,0.87054,0,0.9872,0.99059,0.99356,0.95842,0.9872,0.99059,0.99356,0.93873,0.28222,0.38122,0.2023,0.81096,0,0.00110589,0.00110589,0.00110589
36,94621.5,0.35533,0.45102,0.26148,0.8677,0,0.97066,0.9892,0.99212,0.95131,0.97066,0.9892,0.99212,0.94088,0.28722,0.36875,0.21793,0.81232,0,0.00108938,0.00108938,0.00108938
37,97230,0.35877,0.44473,0.26393,0.87255,0,0.98178,0.98941,0.99234,0.95275,0.98178,0.98941,0.99234,0.94347,0.2933,0.36187,0.20786,0.81162,0,0.00107288,0.00107288,0.00107288
38,99840.1,0.36648,0.46087,0.27197,0.8716,0,0.97895,0.99592,0.98679,0.95297,0.97895,0.99592,0.98679,0.93477,0.2755,0.37303,0.19628,0.80916,0,0.00105638,0.00105638,0.00105638
39,102446,0.35494,0.44918,0.26057,0.86915,0,0.97928,0.99695,0.98968,0.95458,0.97928,0.99695,0.98968,0.93811,0.29204,0.38112,0.21829,0.81088,0,0.00103987,0.00103987,0.00103987
40,105059,0.35962,0.45053,0.25888,0.87498,0,0.97851,0.98476,0.98954,0.94925,0.97851,0.98476,0.98954,0.93378,0.29751,0.38057,0.21756,0.81543,0,0.00102337,0.00102337,0.00102337
41,107668,0.35243,0.46043,0.25608,0.86993,0,0.97744,0.98371,0.98942,0.95804,0.97744,0.98371,0.98942,0.93554,0.27003,0.39223,0.21208,0.80763,0,0.00100687,0.00100687,0.00100687
42,110278,0.35323,0.45142,0.25793,0.86997,0,0.98194,0.99008,0.98521,0.9486,0.98194,0.99008,0.98521,0.93111,0.28615,0.38327,0.22464,0.81308,0,0.000990365,0.000990365,0.000990365
43,112887,0.34321,0.43336,0.25543,0.86611,0,0.98951,0.9878,0.99326,0.96489,0.98951,0.9878,0.99326,0.94466,0.28866,0.37554,0.21861,0.82182,0,0.000973861,0.000973861,0.000973861
44,115498,0.34484,0.44189,0.24919,0.86401,0,0.98198,0.9878,0.99376,0.96473,0.98198,0.9878,0.99376,0.94436,0.2521,0.37338,0.20353,0.8036,0,0.000957358,0.000957358,0.000957358
45,118110,0.34217,0.43593,0.24844,0.86625,0,0.97887,0.9939,0.99301,0.95804,0.97887,0.9939,0.99301,0.94178,0.296,0.35851,0.22458,0.81787,0,0.000940855,0.000940855,0.000940855
46,120722,0.34862,0.43665,0.25053,0.86628,0,0.97981,0.99072,0.99151,0.95432,0.97981,0.99072,0.99151,0.93969,0.27296,0.364,0.22609,0.81423,0,0.000924352,0.000924352,0.000924352
47,123334,0.33556,0.43508,0.24196,0.86726,0,0.97459,1,0.98817,0.95334,0.97459,1,0.98817,0.93332,0.2686,0.38276,0.19748,0.80649,0,0.000907848,0.000907848,0.000907848
48,125943,0.3516,0.45708,0.24716,0.86602,0,0.97798,0.99085,0.99041,0.96259,0.97798,0.99085,0.99041,0.93972,0.26463,0.36254,0.19062,0.80345,0,0.000891345,0.000891345,0.000891345
49,128554,0.33684,0.43287,0.24232,0.8611,0,0.97506,0.99695,0.99057,0.9576,0.97506,0.99695,0.99057,0.94134,0.28156,0.37864,0.20006,0.81058,0,0.000874842,0.000874842,0.000874842
50,131164,0.33152,0.42182,0.23553,0.86281,0,0.98727,0.99085,0.99122,0.96203,0.98727,0.99085,0.99122,0.94005,0.25696,0.37593,0.18591,0.80462,0,0.000858338,0.000858338,0.000858338
51,133772,0.33328,0.42425,0.23718,0.86449,0,0.98545,0.98939,0.99235,0.96226,0.98545,0.98939,0.99235,0.94672,0.27027,0.38122,0.19067,0.80705,0,0.000841835,0.000841835,0.000841835
52,136383,0.32827,0.42757,0.24022,0.86203,0,0.98,0.98476,0.99395,0.96173,0.98,0.98476,0.99395,0.94517,0.26904,0.37629,0.20968,0.80717,0,0.000825332,0.000825332,0.000825332
53,138993,0.33842,0.44238,0.2416,0.86468,0,0.98996,0.98476,0.98974,0.95789,0.98996,0.98476,0.98974,0.93713,0.28083,0.3798,0.20346,0.80864,0,0.000808828,0.000808828,0.000808828
54,141607,0.32974,0.42866,0.23496,0.86324,0,0.98446,0.98476,0.99261,0.96193,0.98446,0.98476,0.99261,0.94248,0.2552,0.3637,0.1884,0.80577,0,0.000792325,0.000792325,0.000792325
55,144218,0.33278,0.42824,0.23785,0.86121,0,0.98376,0.9937,0.99165,0.96282,0.98376,0.9937,0.99165,0.94058,0.26163,0.35308,0.19402,0.80483,0,0.000775822,0.000775822,0.000775822
